filename,target_classes,recording_device,device_placement,recording_environment,scene_description,license,collector_id,non_target_classes
004985.wav,footsteps;door_open_close,Samsung Galaxy A16,mobile,living_room,"walk toward the door, open the door then close the door",CC0 (Public Domain Dedication),73aa6c50149ce829,
000901.wav,vacuum_cleaner;phone_ringing,Blue Snowball Microphone,static,bedroom,"I pressed the record button with my mouse on my PC. Then turned on the vacuum cleaner, cleaned the floor and my phone rang. I hung up the phone, stopped the vacuum cleaner and the phone rang again.","CC-BY 4.0 (Attribution License), Author: Bozhidar Simeonov",323928da3353ae6d,mouse_click
002772.wav,keyboard_typing;cutlery_dishes;phone_ringing,iPhone 13,static,office,"I was typing on the keyboard, then I picked up a cup, took two sips, swallowed, and put the cup back on the table. The phone started ringing.",CC0 (Public Domain Dedication),b6c6cb5e262134f3,swallowing
000527.wav,running_water,iPhone 17 Pro,static,bathroom,"Went into the bathroom. Turned the tap, let the water flow while I was washing my hands, and then turned the water off.","CC-BY 4.0 (Attribution License), Author: Andreea Bobeica",4c2d8235644fa30f,clothing_rustle
004085.wav,light_switch;keychain;door_open_close;footsteps;running_water,iPhone,mobile,hallway;kitchen,"I turned on the lights, unlocked the door, walked into my flat and closed the door. I left the keys on the table, walked to the kitchen, filled a glass with water, searched for my supplement and drank the water.",CC0 (Public Domain Dedication),81aca499c1cf3dc2,
004727.wav,footsteps;phone_ringing;window_open_close,iPhone 12 Pro Max,mobile,bedroom,"I walked toward the window while a phone was ringing nearby. I opened the window during the ringing, paused briefly, and then closed it again.","CC-BY 4.0 (Attribution License), Author: Sergey Gonchar",48d600e18e177e23,
000565.wav,cutlery_dishes;running_water,iPhone 17 pro,static,kitchen,"I stood at the kitchen sink and turned on the tap. I began washing dishes, creating sounds of running water mixed with the clinking of cutlery and dishes.","CC-BY 4.0 (Attribution License), Author: Andrian Poliakov",e7008611ee730e35,
003464.wav,keyboard_typing;window_open_close;phone_ringing,iPhone 14 Pro,static,bedroom,I sat at my desk in the bedroom and began typing on the keyboard. I then got up walked to the window and opened it. Shortly after my phone received a notification while I was still near the window.,CC0 (Public Domain Dedication),47cf9c05b6dbc7fc,distant_voices;traffic_noise
004204.wav,window_open_close;cutlery_dishes;footsteps,Samsung Galaxy S20 FE,static,kitchen,"Opened window, sorted cutlery and dishes into drawer, closed drawer.",CC0 (Public Domain Dedication),e48080bd3b3c422c,
000103.wav,microwave;cutlery_dishes,Redmi Note 11S,static,kitchen,Dishes are moved while the microwave door is opened and closed and the microwave is started and finished,"CC-BY 4.0 (Attribution License), Author: Acile Chahboun",38aeb6f4b796ffdc,
001874.wav,footsteps;light_switch;wardrobe_drawer_open_close,Galaxy S24 Ultra,static,living_room,I walked across the room and turned off the light. Then I opened the wardrobe and closed it again. After that I walked back to the original place,CC0 (Public Domain Dedication),ccf7544cedd5b0df,
001043.wav,door_open_close;light_switch;vacuum_cleaner,IPhone 15,static,hallway,"I opened the door and entered the hallway. I started vacuuming the floor. While vacuuming, I coughed.",CC0 (Public Domain Dedication),f7ee1100408161a3,cough
005263.wav,running_water;toilet_flushing,iPhone 15 Pro,static,bathroom,"I turned on the water, opened and closed two moisturizers, and while the water was still running, I flushed the toilet",CC0 (Public Domain Dedication),18ab4e6d413b2ddf,opening_closing_products
003720.wav,footsteps;window_open_close,Iphone 14,mobile,living_room,I walked to the window in my room and opened it.,CC0 (Public Domain Dedication),38dc5f403e4789e5,
003003.wav,footsteps;keychain;door_open_close,iPhone 17 Pro,static,outside,On my way to the front door I got out my key from my coat and unlocked the door to go inside.,CC0 (Public Domain Dedication),eeb12b7ed714f500,bird_chirping;key_unlock
002274.wav,window_open_close;footsteps,Samsung Galaxy A33,static,living_room,"I walked to open the window, sightsighted the highway and then closed the window and got back.",CC0 (Public Domain Dedication),e2318f956e857704,vehicle_noise
004009.wav,keyboard_typing;keychain,Xiaomi 14T,static,office,"I was typing on a computer and playing with keys, as well as tapping on the desk later on.","CC-BY 4.0 (Attribution License), Author: Oleksandr Samoliuk",f05a863ea1734b0c,"desk_shufling,finger_tapping"
003772.wav,footsteps;phone_ringing,Samsung Galaxy S21 5G,mobile,living_room,I walked around the room while my phone was ringing. The notification was also heard from my laptop.,"CC-BY 4.0 (Attribution License), Author: Nevena Rogova",26a242adaa5bb590,pc_notification
003475.wav,footsteps;light_switch;wardrobe_drawer_open_close,iPhone 15 Pro,mobile,bedroom,With the window still open I walked into the room and turned on the light. I opened a drawer to look for clothes and searched through them. I closed the drawer.,"CC-BY 4.0 (Attribution License), Author: Minh Nguyen",b17bd09fc3dd12f1,clothing_rustle;drawer_search_noise;street_noise
005686.wav,keychain;light_switch,iphone 15 pro max,mobile,bedroom,"The person approaches a wall switch and toggles the light switch a few times, producing distinct clicks. The keychain sound continues lightly in the background.",CC0 (Public Domain Dedication),60f663079174eb88,
000467.wav,footsteps;door_open_close;running_water,Iphone 14 Pro,static,bedroom;bathroom,"I go to my bedroom door, open it, enter the bathroom. The ventilation turns on automatically, i turn on the faucet, wet my hands, take a pump of soap from the soap dispenser, and finish washing my hands. Then i dry them with my hanging towel and I come back to the bedroom.",CC0 (Public Domain Dedication),8a386416a6c72fb9,bathroom_ventilation;towel_rumbling;soap_dispenser;bone_cracking
005392.wav,footsteps;light_switch;keychain;door_open_close,Oppo Reno8 T,mobile,bedroom;hallway,"I wakled downstairs from bedroom. Automatic lights turned on. I took the keys, opened the door heard birds sounds and walked out.",CC0 (Public Domain Dedication),5356ec2ef93f1bf5,birds_sounds
003038.wav,keyboard_typing;window_open_close,MacBook,static,office,I typed on the laptop keyboard while sitting at the desk and then opened the window.,CC0 (Public Domain Dedication),f5cf80f0bca29517,chair_movement
003302.wav,running_water;cutlery_dishes;footsteps,Poco X6 Pro 5G,static,kitchen,"I turn on the tap to wash some dishes, with the sounds of running water and cutlery clinking overlapping.",CC0 (Public Domain Dedication),b0d61fcaa9845ba0,refrigerator_hum
000476.wav,vacuum_cleaner;bell_ringing,iphone17,static,living_room,"Turn on the vaccum cleaner , then hears door bell and turns it off",CC0 (Public Domain Dedication),3b56b693509835fc,
002382.wav,keyboard_typing,MacBookPro,static,bedroom,"I started typing on my MacBook and I also used that same exact MacBook for the recording of the audio, during the typing I moved around with the chair I sat on.",CC0 (Public Domain Dedication),05f4dccfa25d37fb,desk_chair_moving
005466.wav,running_water;wardrobe_drawer_open_close,Honor Magic 5 Pro,mobile,bathroom,"i turn on the water tap in the bathroom, open a drawer, then close it. i turn off the water, open the drawer again, and close it.",CC0 (Public Domain Dedication),bb2f95f2c4c34f0a,
000048.wav,light_switch;keyboard_typing;footsteps,Iphone 14,static,bedroom,"I turned on the light switch, sat on a chair and started typing",CC0 (Public Domain Dedication),a38734c69fcc886d,chair
003487.wav,keyboard_typing;window_open_close,Laptop,static,office,"While sitting on my computer chair, I was typing on the keyboard. I rolled with the chair toward the window and opened it. In the background some cars could be heard passing by. I then closed the window and rolled back with the chair to my desk.",CC0 (Public Domain Dedication),c40d3a38b84015c5,chair_movement;traffic_noise;coughing
001851.wav,phone_ringing;light_switch,iPhone 16 Pro Max,static,bedroom,"I was laying in bed, asleep. Then, an alarm on my phone rang, signaling that it is waking up time. I had switched the light on and then turned the alarm off. After that I got up.",CC0 (Public Domain Dedication),183a3cb2f07b2b9d,yawning;groaning;cloth_ruffling
002665.wav,keychain;window_open_close,iphone 14 pro,static,bedroom,I open and close the window a couple of times while i am jiggling my keys in my hand at the same time.,CC0 (Public Domain Dedication),4a17875f9e00a777,
003127.wav,keyboard_typing,OnePlus 15,static,office,"I type on my notebook keyboard, I open a bottle, I put the cap down, I pour my drink, put the bottle down, take my cup, I slurp, I continue typing",CC0 (Public Domain Dedication),7a09be50fa2b6673,bottle_opening;cap_sounds;pouring_sounds;slurping
002512.wav,keyboard_typing;phone_ringing,Macbook Air M3,static,living_room,I was typing on the keyboard while my phone was ringing. Then I coughed once.,CC0 (Public Domain Dedication),f396770c7f1b9115,coughing
000812.wav,footsteps;keychain,iPhone,mobile,hallway,I walked through the hallway while holding my keys and lightly shaking the keychain.,CC0 (Public Domain Dedication),6c3cee1713e75de0,
004512.wav,light_switch,samsung_galaxy_A34,mobile,bedroom,I turned on the light  at night to drink some water from the glass of water near me. Then slept further.,"CC-BY 4.0 (Attribution License), Author: Rona Thomas",5e9e111d5acba064,drink;slurp;sigh;fabric_rustle
004272.wav,coffee_machine;keyboard_typing,Pixel 6 pro,static,office,I decided to make a cofee during typing an email,CC0 (Public Domain Dedication),46bb11117b598882,
004925.wav,keyboard_typing,Samsung_Galaxy_S23,static,office,"Opened the needed apps on my laptop. Then, I did some calculations and noted them in my notebook",CC0 (Public Domain Dedication),ef2f2a29de91599e,mouse_clicking;writing
003777.wav,light_switch;running_water;cutlery_dishes;phone_ringing,Samsung Galaxy S21 5G,static,kitchen,"I turned on the light in the kitchen and turned on the tap in the sink. While I was washing the dishes, the phone rang.","CC-BY 4.0 (Attribution License), Author: Nevena Rogova",26a242adaa5bb590,
003841.wav,keyboard_typing;phone_ringing;door_open_close;footsteps;keychain,Xiaomi 12 Lite,static,bedroom,"I type on the keyboard and get a notification. I roll the chair back, stand up, and open the door. I walk back, take my keys, go out, and close the door.",CC0 (Public Domain Dedication),45eee4b6811d2fb3,chair_rolling
003746.wav,microwave;phone_ringing,iPad Pro 4th generation,mobile,kitchen,"I opened the microwave, put in some cold rice and reheated it. While it was heating I got notifications fom WhatsApp.",CC0 (Public Domain Dedication),5803ccd31aaa2d65,
004702.wav,window_open_close,Xiaomi Mi 9T,mobile,bedroom,"I was standing on top of my metal folding step ladder and opened the roof window in my bedroom. I kept it open for a little while, then I closed it again and stepped down the 3 steps of the ladder.",CC0 (Public Domain Dedication),9fe72f5887e077cb,ladder_creaking;traffic_noise;clothing_rustle
001114.wav,toilet_flushing;running_water;door_open_close;footsteps;light_switch,Iphone 15 Pro,mobile,bathroom;bedroom,"I flushed the toilet, while it flushing I turned on the water, turned off the light, opened a door, went to my room, turned on the light",CC0 (Public Domain Dedication),f125c6e647565367,
000532.wav,footsteps;keyboard_typing;phone_ringing,iPhone 13,static,office,I came to the desk and sat to start typing. While I was typing the phone started ringing and vibrating.,CC0 (Public Domain Dedication),53cf24fd432c111c,chair_scraping
004775.wav,running_water;phone_ringing;toilet_flushing,iPhone 11 Pro Max,mobile,bathroom,I started recording while holding the phone in my hand. I turned on the running water and after a few seconds the phone started ringing. While the water was still running and the phone was ringing I flushed the toilet so the three sounds overlapped before stopping the recording.,CC0 (Public Domain Dedication),6dfe2c7d14ec5c9f,
005211.wav,footsteps;door_open_close;light_switch;wardrobe_drawer_open_close,iPhone 15 Pro,mobile,bedroom,"I entered from the Hallway to the bedroom, opened the door and switched the lights on, then I went to my drawer to get a Tshirt, put that on and left.",CC0 (Public Domain Dedication),92f3815119302f71,traffic;tshirt_on
004166.wav,running_water;cutlery_dishes,Samsung Galaxy A56 5G,static,kitchen,I arranged cutlery to wash meanwhile tap water is flowing in basin.,CC0 (Public Domain Dedication),ff5a08d170ee35ff,
000817.wav,vacuum_cleaner;footsteps,iPhone,mobile,living_room,I vacuumed the living room floor while walking around the room with the vacuum cleaner.,CC0 (Public Domain Dedication),6c3cee1713e75de0,
005269.wav,light_switch;wardrobe_drawer_open_close,iPhone 15 Pro,mobile,kitchen,I turned on the light and opened and closed a few drawers,CC0 (Public Domain Dedication),18ab4e6d413b2ddf,
002024.wav,light_switch;footsteps;door_open_close,iPhone 15,mobile,livingroom,"I walked through the livingroom, turned the lights off, opened the door and closed it after I left.",CC0 (Public Domain Dedication),6194f41fd9c5c2c8,
003745.wav,light_switch;wardrobe_drawer_open_close;footsteps,iPhone 16 pro max,static,bedroom,"I walked to the room, turned on the lights then walked to the closet and opened the drawers. I then closed the drawers, walked back to the door and switched off the light.",CC0 (Public Domain Dedication),5803ccd31aaa2d65,
002347.wav,light_switch;bell_ringing,iPhone_15,static,bedroom,"I first turned the light one and off, then I made my bed and third I rang a bell. All while the phone was statically positioned.",CC0 (Public Domain Dedication),2a25d23c480c4dc5,making_bed
000583.wav,vacuum_cleaner;phone_ringing;keyboard_typing,Macbook Air M2,static,living_room,"While I was vacuuming the floor, I received notification. I put down vacuum cleaner, went to the laptop and started typing.","CC-BY 4.0 (Attribution License), Author: Anna Chernenko",3fe16a5205016a87,squeaking_floor
005699.wav,microwave;footsteps,RODE NT-USB,static,kitchen,"I came to the microwave with loud footsteps, as if I was hopping, opened the microwave, put a mug in there, and turned it on in the light mode. Then I came to the table, looked at the paper. Finally, the microwave started beeping, and I left the paper and came up to open it, taking out the mug.",CC0 (Public Domain Dedication),68c4012c3123a131,newspaper;coughing
002556.wav,keyboard_typing;phone_ringing,Samsung Galaxy A21,static,office,"I typed on my keyboard and cough twice when my phone started to ring. I opened the case of my ear plugs, put them to my ears and answered the call.",CC0 (Public Domain Dedication),ebf8a7d21a2be3cb,coughing;ear_plugs_case
001892.wav,footsteps;door_open_close;light_switch;toilet_flushing;running_water,Samsung Galaxy S22,mobile,hallway;bathroom,"I walked down my hallway, opened my bathroom door then stepped in and closed the door. I then turned on the light, flushed the toilet, then walked to and turned on the sink.",CC0 (Public Domain Dedication),524bb56d9e31fb51,air_perturbance;house_slides_suctioning;clothing_rustle;breathing
000424.wav,wardrobe_drawer_open_close;cutlery_dishes;coffee_machine,Samsung Galaxy A25,static,kitchen,"I opened a cupboard, took out a cup and put it on a coffee machine, then I turned on the coffee machine and shuffled around the cutlery, then the coffe machine made coffee.","CC-BY 4.0 (Attribution License), Author: Amelia Anna Kimaro",16be35aa794863dc,cup_put_away
002058.wav,toilet_flushing;door_open_close,iPhone 15,static,toilet,I flushed the toilet and waited for the water cycle to finish. Then I opened the bathroom door to leave the room.,"CC-BY 4.0 (Attribution License), Author: Ikram Mahyaoui",fa05ba06fd76cd8d,
005071.wav,phone_ringing;light_switch;footsteps;window_open_close,Iphone 15,mobile,bedroom,"The alarm started ringing.Then I got up,I switched on the light and walked to the window and opened it. Finally I closed the window",CC0 (Public Domain Dedication),85a7c1d57709169d,
004881.wav,footsteps;phone_ringing;keychain;door_open_close,Realme RMX3710,mobile,living_room;hallway,"I was walking around in the apartment to leave, while my phone kept ringing. After I declined the call, I grabbed my keys, opened the door and left.",CC0 (Public Domain Dedication),3f227415ae1d84b3,squeaky_parquet
005079.wav,footsteps;keyboard_typing;window_open_close;wardrobe_drawer_open_close,Redmi Note 13 Pro+ 5G,static,living_room,A person is first going to the drawer and then opening it. After that he goes to the window and opens it. All of that happens while a person is typing on his keyboard in the back of the room.,"CC-BY 4.0 (Attribution License), Author: Theodor Seitz",cc466f365e8bbd10,
004755.wav,footsteps;light_switch,iPhone,mobile,hallway,I walked through the hallway and used the light switch during the movement.,"CC-BY 4.0 (Attribution License), Author: Seyed Muhammad Hashemi",b2cf2836ac4b760f,
004133.wav,footsteps;light_switch;cutlery_dishes,Motorola Moto G54,static,living_room,"I walked to the light switch and turned on the lights. I walked to the desk, put down the mug, rolled back the chair, sat down. Then I picked up the mug and drank.",CC0 (Public Domain Dedication),33c2fe38575e6e74,chair_dragging;chair_squeaking;slurping
004254.wav,phone_ringing;footsteps;door_open_close,iPhone 16 Pro Max,mobile,hallway,"My friend called me and I went to to open the door for him, as I knew he will be here once he calls.",CC0 (Public Domain Dedication),332fa5e8522c623a,
002788.wav,light_switch;wardrobe_drawer_open_close;footsteps;window_open_close,Samsung A54,mobile,bedroom,"I turned on the lights, walked through my room, opened and closed my wardrobe, then opened and closed the window.","CC-BY 4.0 (Attribution License), Author: Leonhard Hallweger",a89202bccdf16766,
004956.wav,keychain;door_open_close;footsteps;window_open_close,iPhone 17 Pro ,mobile,hallway;living_room,"I used the keys to open the apartment door and stepped inside. I walked towards the living room. I opened the window, waited for a few seconds and then closed it.",CC0 (Public Domain Dedication),47855d2c2969abb1,birds;nature_sounds
004652.wav,bell_ringing;door_open_close;toilet_flushing,Pixel 5,mobile,toilet,"open toilet door. rang my phone, flished the toilet",CC0 (Public Domain Dedication),7f3e2349d27dcc3e,
003058.wav,keyboard_typing;phone_ringing;wardrobe_drawer_open_close,Iphone 15,static,bedroom,"I was typing on my laptop keyboard when the notification came on my phone, but I continued typing. Then I opened and closed my drawer.",CC0 (Public Domain Dedication),0758e3e003e3e5de,
005127.wav,wardrobe_drawer_open_close;cutlery_dishes,moto g84 5G,static,kitchen,"I opened the drawer for my cutlery in the kitchen, put in some cutlery and then closed the drawer again.",CC0 (Public Domain Dedication),96942c2c1ec558f0,
005575.wav,footsteps;vacuum_cleaner,smartphone,mobile,hallway,I was vacuuming the floor while walking around the room.,CC0 (Public Domain Dedication),65f376d0c4a3b3a6,
002975.wav,keychain;door_open_close;light_switch;footsteps;window_open_close,Iphone 17 pro max,mobile,hallway;bedroom,"I came home, stood in the hallway, took out my keys, opened the door, turned on the light, went to the window and closed it.",CC0 (Public Domain Dedication),fc95f5d2c86159e0,people_talking_outside
005039.wav,bell_ringing;door_open_close;footsteps,Iphone 16 Plus,static,room,"The doorbell rang, and I opened the door. The guest walked in.","CC-BY 4.0 (Attribution License), Author: Tal Yampolsky",8188e21ddcde2c4a,beep
000618.wav,coffee_machine;running_water,Galaxy A53 5G,mobile,kitchen,A coffee machine is operating in the kitchen while running water from the sink can be heard in the background during preparation.,CC0 (Public Domain Dedication),9e2954ee853d732f,cup_movement
003722.wav,running_water;cutlery_dishes;phone_ringing,Ipad Air,static,kitchen,"I was washing the plates when I got a phone call, and the water was running from the tap.",CC0 (Public Domain Dedication),38dc5f403e4789e5,
004107.wav,microwave;footsteps;door_open_close;cutlery_dishes,Samsung Galaxy S24 Ultra,mobile,kitchen,I was using the microwave and then need my dishes and cutlury. So I opened my locker took out some dishes and cutluries.,"CC-BY 4.0 (Attribution License), Author: Osama Bin Wadud",db6db4750351ead6,
005309.wav,door_open_close;footsteps;microwave,Samsung Galaxy S21 FE,mobile,kitchen,"I opend the door, came inside, closed the door and walked to the microwave. I opend the microwave, closed it, turned on, waited untill it finished and opened it.","CC-BY 4.0 (Attribution License), Author: Valerii Oliinyk",48fb7721443b51bc,
001911.wav,running_water;door_open_close;vacuum_cleaner,iPhone 12 Pro Max,mobile,living_room;bathroom,"I turn on the water and wash the rag, then I leave the bathroom and close the door, then turn on the vacuum cleaner",CC0 (Public Domain Dedication),9e0013646d606c4e,
005077.wav,door_open_close;footsteps;keyboard_typing;running_water,Redmi Note 13 Pro+ 5G,mobile,kitchen,The person opens a door and goes into the kitchen sink and turns off the water. After that the person goes back into the living room. A person in the back is typing on a keyboard.,"CC-BY 4.0 (Attribution License), Author: Theodor Seitz",cc466f365e8bbd10,
000522.wav,door_open_close;footsteps,iPhone 17 Pro,mobile,living_room,I went into the living room and opened the door. I then closed the door behind me and moved further into the room,"CC-BY 4.0 (Attribution License), Author: Andreea Bobeica",4c2d8235644fa30f,clothing_rustle
004983.wav,footsteps;keyboard_typing;keychain,Google Pixel 10a,mobile,office,"While my partner was typing on the keyboard, I impatiently walked up and down the room. I played with the keys in my hand and the keychain jingled.",CC0 (Public Domain Dedication),09fdafba0583027f,
002232.wav,phone_ringing;keyboard_typing;wardrobe_drawer_open_close,Vivo X80 Lite,static,office,"Typing on keyboard, phone starts ringing, drawer is openend and closed",CC0 (Public Domain Dedication),8b46f4bbbf5fe423,
000466.wav,footsteps;light_switch;wardrobe_drawer_open_close,Iphone 14 Pro,mobile,bedroom,"I lay in my bed, turn on the side to press the light switch. Then I get up, make a couple of steps, open the wardrobe door, look through my clothes which are hanging there, take a shirt and throw it on my bed. Then i take a couple of steps back to my bed.",CC0 (Public Domain Dedication),8a386416a6c72fb9,bedsheets;hangers_rumbling;bone_cracking;shirt_falling_on_bed
001974.wav,keychain;door_open_close;light_switch;footsteps,Samsung Galaxy A56 5G,mobile,living_room,I picked up the keys from kitchen shelf and opened the door of living room and turned the light switch on and and entered the living room and closed the door. My friends are talking there.,CC0 (Public Domain Dedication),50344198cb766b35,human_voice
002462.wav,footsteps;door_open_close;keychain;light_switch,PC microphone,static,office,"I walked to the door, opened and closed it,turned on the light, shook my keychain and walked back",CC0 (Public Domain Dedication),6e86999badc294b8,
002006.wav,vacuum_cleaner;phone_ringing;footsteps,Redmi Note 13,static,kitchen;hallway,I was cleaning with the vacuum cleaner when suddenly I got an important call.,CC0 (Public Domain Dedication),5ee5c718cb9099f6,
003806.wav,microwave;wardrobe_drawer_open_close;cutlery_dishes;phone_ringing,Iphone_13,static,kitchen,"I opened the microwave and turned it on. While waiting, I opened a drawer and put freshly washed mugs inside while receiving messages on my phone.",CC0 (Public Domain Dedication),97c3d786e5ee5467,background_humming
002519.wav,vacuum_cleaner;footsteps;window_open_close,Samsung Galaxy S25 Ultra,static,bedroom,I turned on the vacumm cleaner and started vacumming. After that i walked to the window and opened it.,"CC-BY 4.0 (Attribution License), Author: Kejdi Rama",f7bc2c5dd14e40bd,
000857.wav,keyboard_typing;phone_ringing,iPhone 13,static,office,"Typed some text on my laptop, phone started ringing, I let it ring for a while then declined, kept on typing.",CC0 (Public Domain Dedication),4bd3a6f5fb336979,
004861.wav,bell_ringing;door_open_close;footsteps,Xiaomi Redmi 15,static,hallway,The doorbell rings and I walk to the door. I open the door and close it again afterwards.,CC0 (Public Domain Dedication),598de2004a81c35b,background_noise
000989.wav,toilet_flushing;running_water;footsteps;light_switch;keyboard_typing,DJI Pocket 3,mobile,toilet;hallway;bedroom,"After flushing the toilet, I washed my hands and closed the bathroom door. After that I turned off the lights for the bathroom, returned to my bedroom and typed on the keyboard.",CC0 (Public Domain Dedication),6ac38984184522fa,
004699.wav,keyboard_typing;window_open_close;light_switch,Xiaomi Mi 9T,static,living_room,"I was sitting in front of the tilted window to the street, typing on the keyboard of my laptop. Then I stretched a little to close the window completely. Then I switched on the lamp on my desk. I read the last sentence I had written and started typing again.",CC0 (Public Domain Dedication),9fe72f5887e077cb,traffic_noise;clothing_rustle
